Data Center,Company,White space,Gross power
Ridge Lea,CenturyLink,-,-
Seattle,CenturyLink,695 m²,-
SLC Delong,CenturyLink,-,-
St. Louis,CenturyLink,-,-
Stamford,CenturyLink,-,-
Tampa,CenturyLink,-,-
Tucson (South Evans Boulevard),CenturyLink,-,-
Washington DC,CenturyLink,-,-
CeraNet DC1,CeraNet,-,-
Lafayette,CGi,-,-
Austin,CH3 Data,-,-
Englewood,Charter Communications,-,-
Westover Hills,Chevron,-,-
Cincinnatti Bell - West 7th Street,Cincinnatti Bell,-,-
Allen 2260 Co Rd 196,Cisco,-,-
Richardson,Cisco,-,-
Cisp,CISP,-,-
San Antonio,CityNAP,-,-
Citynet Columbus,Citynet,-,-
Citynet Indianapolis,Citynet,-,-
Citynet Pittsburgh,Citynet,-,-
Clear Channel Satellite,Clear Channel,-,-
Clear Rate Battle Creek POP,"Clear Rate Communications, Inc",-,-
Clear Rate Southfield POP,"Clear Rate Communications, Inc",-,-
"ClearBearing, Inc.","ClearBearing, Inc.",-,-
ClearData,ClearData,-,-
Dallas,Clearview International,-,-
Waco,Clearview International,-,-
Seattle,Clise Properties,-,-
141 West Jackson Boulevard,CME Group,-,-
Aurora,CME Group,-,-
South Wacker Chicago,CME Group,-,-
CNS Colo,CNS Colo,-,-
Cobalt Cheyenne,Cobalt Data Centers,-,-
Cobalt Sahara,Cobalt Data Centers,-,-
Los Angeles,Cogeco Peer 1,-,-
Miami,Cogeco Peer 1,-,-
New York,Cogeco Peer 1,-,-
Anaheim (South Harbor Boulevard),Cogent Communications Inc.,109 m²,-
Atlanta (Marietta Street),Cogent Communications Inc.,727 m²,-
Boca Raton (Conference Way North),Cogent Communications Inc.,930 m²,-
Boston (Innerbelt Road),Cogent Communications Inc.,1115 m²,-
Chicago (West Jackson Boulevard),Cogent Communications Inc.,1109 m²,-
Cleveland (Euclid Ave),Cogent Communications Inc.,465 m²,-
Columbus (North 5th Street),Cogent Communications Inc.,502 m²,-
Detroit (West Big Beaver Road),Cogent Communications Inc.,522 m²,-
Kansas City,Cogent Communications Inc.,-,-
Miami (Southeast 1st Street),Cogent Communications Inc.,499 m²,-
Naperville,Cogent Communications Inc.,-,-
New York (Whitehall Street),Cogent Communications Inc.,-,-
Pittsburg,Cogent Communications Inc.,-,-
AtlantaNAP,"Colo Facilities Atlanta, LLC",-,-
Colo Solutions Orlando,Colo Solutions,-,-
Colo@34,"COLO@, LLC",-,-
Colo@55,"COLO@, LLC",-,-
Los Angeles DC 2,Colocation America,-,-
Los Angeles DC 5,Colocation America,-,-
San Francisco DC 1,Colocation America,-,-
Beltsville,Coloco,-,-
Coloco #8,Coloco,1207 m²,-
Dallas,ColoCrossing,5946 m²,11100 kW
Dallas 2,Cologix,1115 m²,-
Brooklyn,ColoGuard,-,-
ColoGuys,ColoGuys,-,-
ColoGuys#2,ColoGuys,-,-
ColoHouse,ColoHouse,-,-
ColoHouse Miami,ColoHouse,-,-
ColoHouse Premier Data Center,ColoHouse,-,-
Miami,ColoHouse,-,-
2701 Devils Glen Road,ColoHub LLC,-,-
Bedford Data Center,ColoSpace,-,-
Boston Data Center (Somerville),ColoSpace,-,-
Burlington Data Center,ColoSpace,-,-
ColoSpace Waltham,ColoSpace,-,-
Hartford Data Center,ColoSpace,-,-
Marlborough Data Center,ColoSpace,-,-
Portland Data Center,ColoSpace,-,-
Portsmouth Data Center,ColoSpace,-,-
Providence Data Center,ColoSpace,-,-
Rockland Data Center,ColoSpace,-,-
Westborough Data Center,ColoSpace,-,-
Colostore.com,Colostore.com,-,-
CoLouisiana DC1,CoLouisiana,-,-
ColoUnlimited,ColoUnlimited,-,-
1101 Space Park Drive,Colovore,-,-
Hillsboro,Comcast Cable,-,-
Grand Rapids,COMLINK,-,-
Compass Bank Bldg Albuquerque,Compass Datacenters,-,-
Franklin,Compass Datacenters,-,-
New Albany,Compass Datacenters,-,1200 kW
Connectria,Connectria,-,-
Atlantic City,Continent 8 Technologies,-,-
180 E Broad Street (Continental Plaza Building),Continental Realty,-,-
Continuity Centers,Continuity Centers,-,-
Continuity Centers Chappaqua,Continuity Centers,-,-
Continuum Data Centers,Continuum Datacenters,-,-
