Data Center,Company,White space,Gross power
USNX Data Center,U.S. NetworX,-,-
Boulder,Uber,-,-
1331 E Business Center Dr.,Unclaimed,-,-
St Louis,UNISYS,-,-
Lincoln,Unite Private Networks,-,-
The Mission Street Center,"UnitedLayer, Inc.",-,-
UnitedLayer San Francisco,"UnitedLayer, Inc.",-,-
NCAR-Wyoming Supercomputing Center,University Corporation for Atmospheric Research,-,-
Grand Forks,University of North Dakota,-,-
University of Wisconsin-Madison,University of Wisconsin-Madison,-,-
3110 North Central Avenue,Unknown,-,-
4003 East Speedway Boulevard,Unknown,-,-
9706 E. Easter Avenue,Unknown,-,-
Beltsville,Unknown,-,-
GramTel Grand Rapids,Unknown,-,-
Secaucus,Unknown,-,-
Untangled Technology Data Center,Untangled Technology,-,-
US Internet Data Center,US Internet,-,-
US Secure Hosting Center,US Secure Hosting Center (USSHC),-,-
Grand Rapids,US SIGNAL,-,-
US Signal Grand Rapids,US SIGNAL,-,-
US Signal Oak Brook,US SIGNAL,-,-
US Signal Southfield,US SIGNAL,-,-
V1,Vantage Data Centers,-,-
V2,Vantage Data Centers,-,-
V3,Vantage Data Centers,-,-
Vaultas Alexandria,Vaultas,-,-
Vaultas Milwaukee,Vaultas,-,-
Vaultas St. Cloud,Vaultas,-,-
Dallas I,VAZATA,2323 m²,3300 kW
Dallas II,VAZATA,1161 m²,2000 kW
Vegas,VegasNAP,-,-
Baton Rouge,Venyu,-,-
Baton Rouge 2,Venyu,-,-
Bossier City,Venyu,-,-
Jackson,Venyu,-,-
Vernon Data Center,Vernon Data Center,-,-
Davey Holdings LLC,Villecolo,-,-
701-703 S Lasalle St.,Vinakom,-,-
Vineyard Data Center Park,Vineyard Data Center Park,-,-
650 Townsend St,Virtustream,-,-
8619 Westwood Center Drive,Virtustream,-,-
VISI Data Center Eden Prairie,VISI,-,-
VISI Data Center St. Paul,VISI,-,-
Volico Broward,Volico,-,-
Volico Miami,Volico,-,-
Volico Miami #2,Volico,-,-
Voonami Orem Data Center,Voonami,-,-
Voonami Salt Lake City Data Center,Voonami,-,-
OCDC Orange County Datacenter Santa Ana,VPLS / ACS State and Local,-,-
Austin,vXchnge,4500 m²,26000 kW
Portland,vXchnge,2000 m²,-
St. Louis,vXchnge,1600 m²,-
Waveform Troy Datacenter,Waveform Technology,-,-
Waymark Plano,Waymark Communications,-,-
Webair NY1,"Webair Internet Development, Inc.",2323 m²,4000 kW
4664 Campus Drive,Weidenhammer,-,-
The Bunker,Westland Bunker,13000 m²,-
2401 Holly Kansas City,"Wholesale Internet, Inc.",-,-
One Wilshire Building,Wilcon,-,-
Atlanta,"Windstream Services, LLC",121 m²,-
Nashville,"Windstream Services, LLC",929 m²,960 kW
Lafayette,Wintek,-,-
Ashburn,WiredRe,-,-
Chicago,WiredRe,-,-
Denver,WiredRe,-,-
San Francisco,WiredRe,-,-
Worknet Naperville,Worknet,-,-
Seattle,WorldLink Internet Services,-,-
Worldspice Data Center,WorldSpice Technologies,-,-
Columbus (North 5th Street),WOW! (Wide Open West),-,-
Tampa (North Tampa Street),WOW! (Wide Open West),-,-
WOWaccess,"WOWaccess, Inc",-,-
Greater Hartford,Xand,2787 m²,-
Lehigh Valley,Xand,-,-
Metrowest Boston,Xand,3716 m²,-
Tek Park,Xand,1300 m²,-
Valley Forge,Xand,668 m²,-
Westchester,Xand,-,-
xDefenders,"xDefenders, Inc.",-,-
Xecunet Data Center,Xecunet,-,-
Xilogix Data Center,Xilogix,-,-
Xiolink Data Center,XIOLINK,-,-
XNet Critical Computing Facility,XNet,-,-
Atlanta/Smyrna,XO Communications,-,-
Austin (2100 S. IH-35),XO Communications,-,-
Baltimore (S. Charles),XO Communications,-,-
Boston,XO Communications,-,-
"Cambridge (89 Fulkerson, 1st Floor",XO Communications,-,-
Chicago (S. Dearborn),XO Communications,-,-
Columbus,XO Communications,-,-
Dallas (Mockingbird Ln.),XO Communications,-,-
Denver/Englewood (E. Easter),XO Communications,-,-
Denver/Englewood (Inverness Way),XO Communications,-,-
Detroit/Southfield (21455 Melrose Ave.),XO Communications,-,-
Detroit/Southfield (21555 Melrose Ave.),XO Communications,-,-
Houston (Fannin St.),XO Communications,-,-
Houston (Portsmouth St.),XO Communications,-,-
Maryland Heights,XO Communications,-,-
Minneapolis (Marquette Ave.),XO Communications,-,-
Nashville,XO Communications,-,-
"New York (111 8th Ave., 5th Floor)",XO Communications,-,-
Phoenix (3930 E. Watkins),XO Communications,-,-
Secaucus,XO Communications,-,-
St. Louis (N. Tucker Blvd.),XO Communications,-,-
Miami,XO Communications,-,-
Portland 1,XO Communications,-,-
Portland 2,XO Communications,-,-
San Antonio,XO Communications,-,-
Tampa,XO Communications,-,-
YRIX,Yellowstone Regional Internet Exchange (YRIX),-,-
111 8th Avenue,Zayo Group LLC,-,-
1500 Champa Street,Zayo Group LLC,650 m²,2000 kW
1525 Rockwell Ave,Zayo Group LLC,279 m²,531 kW
165 Halsey,Zayo Group LLC,-,-
209 10th Ave South,Zayo Group LLC,650 m²,797 kW
7620 Appling Center Dr,Zayo Group LLC,557 m²,1329 kW
Santa Clara,"Zynga Game Network, Inc.",-,-
