,Data Center,Company,Address,City,State,lat,lon,White space,Gross power
606,StratITsphere - Echo,StratITsphere,10555 Cossey Road,Houston,Texas,29.7589382,-95.3676974,,
607,SungardAS Houston N2,Sungard Availability Services,12175 North Fwy,Houston,Texas,29.7589382,-95.3676974,,
608,T5ISP Data Center,T5ISP,1300 Rollingbrook Dr.,Baytown,Texas,29.7355047,-94.9774274,,
609,TeleSource IDC,TeleSource Communications Inc.,1301 Fannin Street,Houston,Texas,29.7589382,-95.3676974,,
610,TexLink Houston,"TexLink Communications, Inc.",1770 St. James Place,Houston,Texas,29.7589382,-95.3676974,,
611,TRG Houston One,TRG Datacenters,2626 Spring Cypress Road,Spring,Texas,30.0798826,-95.4172549,,
612,tw telecom Houston,tw telecom,7060 Empire Central Dr,Houston,Texas,29.7589382,-95.3676974,,
613,XO Houston,XO Communications,2401 Portsmouth Street,Houston,Texas,29.7589382,-95.3676974,,
614,XO Houston #2,XO Communications,1301 Fannin Street,Houston,Texas,29.7589382,-95.3676974,,
615,CORE Data Center,CORE Data Center,27039 S. 4440 Rd.,Vinita,Oklahoma,36.6408372,-95.156363,,
616,Isocentric Networks,isocentric networks inc.,"100 West 5th Street, STE 705",Tulsa,Oklahoma,36.13334,-95.9224992,,
617,Lumen Tulsa 1,Lumen,18 W. Archer Street,Tulsa,Oklahoma,36.13334,-95.9224992,,
618,OCOSA Data Center,"OCOSA Communication, LLC",321 S. Boston Ave. Suite LL06,Tulsa,Oklahoma,36.13334,-95.9224992,,
619,Philcade Data Center,Kanbar Properties,501 South Boston,Tulsa,Oklahoma,36.13334,-95.9224992,,
620,TierPoint Oklahoma-Tulsa,TierPoint,322 E. Archer,Tulsa,Oklahoma,36.13334,-95.9224992,,
621,TulsaConnect (DC1) Oklahoma,TulsaConnect,321 S. Boston Ave,Tulsa,Oklahoma,36.13334,-95.9224992,,
622,TulsaConnect (DC2) Oklahoma,TulsaConnect,110 W. 7th St,Tulsa,Oklahoma,36.13334,-95.9224992,,
623,TulsaConnect (DC3) Oklahoma,TulsaConnect,4500 S. 129th E Ave,Tulsa,Oklahoma,36.13334,-95.9224992,,
624,1623 Farnam,1623 Farnam,1623 Farnam Street,Omaha,Nebraska,41.2587459,-95.9383758,,
625,First National Technology Solutions,First National Technology Solutions,201 N 16th St,Omaha,Nebraska,41.2587459,-95.9383758,,
626,LightEdge Data Center - Omaha,LightEdge,1148 American Parkway,Papillion,Nebraska,41.1544433,-96.0422378,,
627,LoCoCoLo,"Power PRotection Products, Inc.",1207 South,Omaha,Nebraska,41.2587459,-95.9383758,,
628,Scott Data Center,The Scott Technology Tranfer and Incubator Center,6825 Pine St.,Omaha,Nebraska,41.2587459,-95.9383758,,
629,TierPoint Omaha-Bellevue,TierPoint,1001 Fort Crook Road North,Bellevue,Nebraska,41.1434547,-95.9124686,,
630,TierPoint Omaha-Midlands,TierPoint,11425 S. 84th St.,Papillion,Nebraska,41.1544433,-96.0422378,,
631,Binary.net,Binary Net,134 S. 13th St.,Lincoln,Nebraska,40.8088861,-96.7077751,,
632,NDC Sharp Annex,Nebraska Data Centers,206 S. 13th Street,Lincoln,Nebraska,40.8088861,-96.7077751,,
633,11830 Webb Chapel Road,Digital Realty,11830 Webb Chapel Road,Dallas,Texas,32.7762719,-96.7968559,,
634,1210 Integrity Drive,Digital Realty,1210 Integrity Drive,Richardson,Texas,32.9481789,-96.7297206,,
635,1215 Integrity Drive,Digital Realty,1215 Integrity Drive,Richardson,Texas,32.9481789,-96.7297206,,
636,1232 Alma,Digital Realty,1232 Alma,Richardson,Texas,32.9481789,-96.7297206,,
637,2323 Bryan Street,Digital Realty,2323 Bryan Street,Dallas,Texas,32.7762719,-96.7968559,,
638,2440 Marsh Lane,Digital Realty,2440 Marsh Lane,Carrollton,Texas,32.9537349,-96.8902816,,
639,2501 S. State Highway 121,Digital Realty,2501 S. State Highway 121,Lewisville,Texas,33.046233,-96.994174,,
640,4025 Midway,Digital Realty,4025 Midway Rd,Carrollton,Texas,32.9537349,-96.8902816,,
641,4849 Alpha Road,Digital Realty,4849 Alpha Road,Dallas,Texas,32.7762719,-96.7968559,,
642,8435 Stemmons Freeway,Digital Realty,8435 Stemmons Freeway,Dallas,Texas,32.7762719,-96.7968559,,
643,850 E. Collins Boulevard,Digital Realty,850 E. Collins Boulevard,Richardson,Texas,32.9481789,-96.7297206,,
644,900 Quality Way - DPD,Digital Realty,900 Quality Way,Richardson,Texas,32.9481789,-96.7297206,,
645,907 Security Row,Digital Realty,907 Security Row,Richardson,Texas,32.9481789,-96.7297206,,
646,950 E. Collins Boulevard,Digital Realty,950 E. Collins Boulevard,Richardson,Texas,32.9481789,-96.7297206,,
647,Atlantic Metro - DFW2,Atlantic Metro,2323 Bryan St.,Dallas,Texas,32.7762719,-96.7968559,,
648,Carrier-1 Data Centers,Carrier-1 Data Centers,1950 N. Stemmons Frwy.,Dallas,Texas,32.7762719,-96.7968559,,
